"widget","phase","tint_r","tint_g","tint_b","tint_a","request_id","tool_id","dry_run","http_status","mcp_status","applied_count","skipped_count","warning_count","error_count","prep_ms","json_ms","http_ms","parse_ms","total_ms","error"
"/Game/UI/Widget/WBP_MCPDummyPopup1","dry_run","0.912","0.68","0.391","0.301","dry-1","widget.apply_ops","True","200","Success","1","0","0","0","0.007","0.319","669.293","0.16","669.779",""
"/Game/UI/Widget/WBP_MCPDummyPopup1","apply","0.912","0.68","0.391","0.301","apply-1","widget.apply_ops","False","200","Success","1","0","0","0","0.006","0.092","309.614","0.164","309.876",""
"/Game/UI/Widget/WBP_MCPDummyPopup2","dry_run","0.516","0.833","0.904","0.267","dry-2","widget.apply_ops","True","200","Success","1","0","0","0","0.004","0.078","333.869","0.222","334.173",""
"/Game/UI/Widget/WBP_MCPDummyPopup2","apply","0.516","0.833","0.904","0.267","apply-2","widget.apply_ops","False","200","Success","1","0","0","0","0.005","0.116","331.179","0.163","331.464",""
"/Game/UI/Widget/WBP_MCPDummyPopup3","dry_run","0.922","0.829","0.947","0.194","dry-3","widget.apply_ops","True","200","Success","1","0","0","0","0.004","0.072","332.005","0.151","332.232",""
"/Game/UI/Widget/WBP_MCPDummyPopup3","apply","0.922","0.829","0.947","0.194","apply-3","widget.apply_ops","False","200","Success","1","0","0","0","0.004","0.086","333.448","0.17","333.708",""
"/Game/UI/Widget/WBP_MCPDummyPopup4","dry_run","0.903","0.502","0.458","0.276","dry-4","widget.apply_ops","True","200","Success","1","0","0","0","0.004","0.07","333.836","0.19","334.1",""
"/Game/UI/Widget/WBP_MCPDummyPopup4","apply","0.903","0.502","0.458","0.276","apply-4","widget.apply_ops","False","200","Success","1","0","0","0","0.006","0.118","330.893","0.163","331.179",""
"/Game/UI/Widget/WBP_MCPDummyPopup5","dry_run","0.84","0.904","0.63","0.177","dry-5","widget.apply_ops","True","200","Success","1","0","0","0","0.004","0.08","334.098","0.103","334.284",""
"/Game/UI/Widget/WBP_MCPDummyPopup5","apply","0.84","0.904","0.63","0.177","apply-5","widget.apply_ops","False","200","Success","1","0","0","0","0.004","0.09","331.959","0.162","332.216",""
